location,lat,lon
חוף אכזיב,33.04410005,35.10098716
"אשקלון, שטח פתוח דרומית למלון הולידיי-אין",,
בית הקברות חולון,31.7982961,35.2398551
גבעות סביב ק.דליה,32.8291998,35.0883142
גבעה צפון לדליה ועוד,,
גבעה צפונית לקיבוץ דליה ועוד...,,
הטיילת הדרומית של נהריה,32.0811674,34.7675707
נחל זוויתן תחתון,32.3112667,34.9291889
שמורת חוף השרון שפיים געש,,
בחצרות בתי הילדים בקבוץ שפיים,,
הזאכי,32.894561,35.6398878
מצוק שילת,31.9249571,35.0123101
חורשת הארבעים,,
נחל כלח,32.7426832,35.0239552
קרן בריתות נחל כזיב,,
"נחל כזיב מקרן בריתות לעין תמיר,בעליה למונפורט",,
גן לאומי אפולוניה,32.1932802,34.8063876
תל אבל בית מעכה (כפר יובל),32.04718415,34.84520133
הר כפיר,32.950183,35.4089091
מירון,32.9886409,35.440278
דרך נוף הגלבוע,32.498881,35.498884
מצפור ערן ודובי שמיר,,
בית הקברות החדש בנצרת עילית והר יונה,,
תל ערד,31.2799119,35.1255017
נחל אל על,32.8262779,35.7520258
בורות לוץ,30.5137272,34.6085472
נראה לפני 4 ימים ליד חוות האלפקות,,
מימין לכפר הנגמלים מלכישוע,,
פי גלילות - מערות הקבורה השומרוניות,,
אלוני אבא,32.7310157,35.1713637
"גן לאומי ירקון - אפק, בתאטרון הרומי",,
שמורת איריס ירוחם,32.8339043,35.7943527
הר הנגב,30.4550487,34.69506419
עמק המצלבה בירושלים,31.7725777,35.20704073
אזור תל ערד,31.2799119,35.1255017
"יער יתיר, שביל החלמוניות",,
תבור,32.6871101,35.3896182
מצוקי דלתון,,
שביל החלמוניות ליד ירוחם,,
יער להב ליד הישוב להבים,,
רמת הגולן הר חזק,33.2793667,35.6847301
"שביל הפסגה , הר מירון",,
"הג'ובה הגדולה , יער אודם , רמת הגולן",33.1943741,35.7483145
יער יתיר,31.30701715,35.00383048
רמת הנדיב מסלול אדום,,
מבוא חמה,32.7363463,35.6556132
"שביל הפסגה,  הר מירון",,
רכס בשנית.,33.04601225,35.84771569
ליד ירוחם,30.9839305,34.9132659
"שביל האלות, פארק בריטניה",31.6776889,34.9301694
חורשת הארבעים - דרך הדורות,31.4921608,34.9195633
נחל מירון,32.9794402,35.4433767
שמורת נחל תנינים,32.5443133,34.90484167
מצוק הארבעים ליד חורשת הארבעים,,
בואדיות בערד,,
תל חזקה מעל אלוני הבשן,,
"רמת הנדיב, שער הכניסה לשמורה",,
הר כמון,32.9089197,35.3617229
כביש 40 ליד רמת בקע,32.0701048,34.93585615
שלוחה צפונית לקיבוץ בית אורן,,
תל חפר,32.3594093,34.9952087
ביצאה מרמלה לבית שמש כביש 44,,
כביש 44 לכיוון בית שמש מול תעוז ולפני תרום,,
שמורת שער פולג ושמורת אודים,,
"עמק האלה, גבעת התורמוסים",,
"דרך נדב, מאחורי גן החיות",,
לצידי הכבישים 386 ו- 375,,
מורדות מערביים כרמל,32.7987648,34.969052
שמורת יד חרוצים,32.1776032,34.9265473
שמורת נוב (ליד הכניסה לחספין),,
"גבעת ישעיהו, ההרחבה",31.6702146,34.9462929
"גבעת האירוסים - בין נס ציונה לראשל""צ",31.9325683,34.7986288
שמורת קדימה,32.287287,34.92101516
גבעת התורמוסים,32.6040256,35.3846729
בארי,31.4241619,34.4911156
אום זוקא,32.0643891,34.8576611
שמורת מכתש בארי,31.4431127,34.48803971
רמות מנשה,32.5978839,35.0576452
"רמות מנשה, בסמוך לגבעת הרקפות",,
גבעת הרקפות שבסמוך לקיבוץ גלעד,,
מול גבעת הרקפות,32.8128788,35.1114222
גבעות טבעון,,
הרצליה,32.1676842,34.83082794
יגור,32.7428565,35.0781325
שמורת אירוס הארגמן בנתניה,,
הפינה הצפון מזרחית בחומת העיר עכו,,
"גבעות טבעון, מעל קרית חרושת",32.6958987,35.1091724
צפון הארץ,32.9905081,35.2755424
גבעת החמרה ליד פלמחים,31.8012748,35.24080501
נחל ימין-חתירה,30.8745517,35.1137525
ליד חירבת חנות,31.7115411,35.0456339
מפגש נחל זיתן-נחל לבן,,
ליד אשלים,30.3338986,34.9552121
"לאורך נחל באר שבע, ובצידי דרכים",,
כרמל כל אזור שוויצריה הקטנה,,
שמורת אירוס הדור מעל נחל חצור,31.927836,34.788054
יער בן שמן,31.93594675,34.95979828
שמורת חורשת טל,33.2212094,35.63011326
מירון סיבוב הסחלבים,,
חניון קרן הכרמל,30.6095524,34.7876363
קרן הכרמל,32.647831,35.072348
אזור המוחרקה,,
"נחל כלח, נחל גלים",32.7545345,35.001596
קרני חיטין,32.7962185,35.4696256
חרבת עתרי,,
הר תורען,32.7959235,35.3745399
נחל תבור - אזור קניון הבזלת,32.6469947,35.4682025
פארק בראון בישוב קדומים,,
חשמונאים,32.0823307,34.8113141
"נחל חצ,בן שלח מנוה ועוד  כבר בפריחה  בנחל זהץ",,
"מערות הקבורה השומרוניות ,צפונית לרמת אביב ג'.",,
תל חדיד,31.9636107,34.9515526
שמורת אירוס הביצות - אחו נוב,,
נוב,32.832269,35.7831891
נחל המערות,31.4175707,34.5754561
נחל תאנים - הישוב קדומים,,
חירבת בורגין,,
שמורת אודים - שביל שחור,,
נחל עיון - קטע עליון,33.0832551,35.4642717
"נחל עיון, קטע עליון",33.0832551,35.4642717
"נחל עיון, הקטה הגבוהה יותר",,
שמורת פולג,32.25857115,34.8396944
"מזרחית לכביש 38, ליד אשתאול",,
יער מגינים ליד כרמי יוסף,,
"בית אורן, צפונית לחוות הרוכבים",,
עין עוזי (מעל אבן ספיר),32.8255551,34.98531785
הישוב קדומים,32.0548383,34.7524692
יער אשתאול,31.8017468,34.99501707
מערבית לרמת בית שמש ב',31.7559166,35.0221367
להבים,31.3698184,34.7981649
"חורבת סומק, צפונית לגת המערבית",,
"דרך נוף כרמל, מתחת המוחרקה",,
כניסה למערת הנטיפים,,
הר הרוח,31.8206181,35.0923883
נחל עמוד עליון,32.9110737,35.4772817
"בר גיורה- ח. עתאב, עין ספלה, נחל המערה",,
מצוקי (חורשת) הארבעים.,32.7569869,35.0297856
מצוקי (חורשת) הארבעים,32.7569869,35.0297856
על המדרון מעל הכביש העולה מצומת אורן לחניון האגם אחרי קמ4,,
דרך נוף כרמל,32.1141143,34.7929102
פארק יקום,,
נחל בית אורן,32.7073594,34.9484001
מחצבות קדומים,32.7278669,35.0149846
בירידה מנחל יגור לקיבוץ יגור,,
אזור מערת בני ברית,31.7776037,35.0307959
חירבת חני (קולה),31.765163,35.2218457
מעלה רחבעם,31.7758628,35.2428128
מערת קשת,32.7724428,34.9912521
מערת קשת + נחל שרך בצת,,
נחל שרך בצת,33.0656212,35.1300318
שביל שחור 2333 מחניון הפסגה הר מירון,,
שביל הפסגה בהר מירון,,
שמורת החלמוניות דרומית לאגם ירוחם,,
עין זבד,32.9754333,35.4284019
יער ברקת ויער קולה ליד שוהם,,
שמורת אלוני קדימה,32.287287,34.92101516
שמורת בני - ציון,32.22110185,34.8572786
שיפולים מזרחיים של חירבת צלית,,
נחל שקמה,31.4698572,34.7749584
גבעות מיתר דרום מזרח ליישוב,,
הגבעות דרומית מזרחית ליישוב מיתר,,
בסמוך לכביש 38 בין מחלך שער הגיא לבית שמש,,
גן לאומי חוף השרון,32.23806465,34.82370411
יער ראש העיין - שביל הפריחה,,
פארק בריטניה - שביל הבורות והבארות - תל מירסים,,
שוקדה,31.4216668,34.5253818
"נחל אשלון 2 ק""מ מתחילת המסלול האדום מדימונה",,
"יער בית קשת, דרך נוף",32.7349117,35.3822259
שמורת גבעות גברעם,31.5742812,34.60631693
גבעת הרקפות קיבוץ טל שחר,32.1042667,34.9659004
"שמורת אירוס הביצה, מושב שדה אילן",,
גבעות גברעם,31.7915795,35.2177352
דרך נוף ביריה,32.1141143,34.7929102
שמורת פולג נתניה,32.25857115,34.8396944
שדות מושב אביאל (ליד כביש 6),,
נצרת עילית הר יונה הגבעה אחרי רחוב הגומא,,
"נצרת עילית, הר יונה, הגבעה אחרי רחוב הגומא",,
נחל ערוגות - עין גדי,31.714222,34.984377
מחנה ישראל בין קיבוץ דברת לאחוזת ברק,32.0842167,34.89856617
"כביש 70, כ- 500 מטר ממחלף אליקים מערבה",,
מוצב הפעמון ואנדרטת הזיתים,,
כביש 38 מול מסילת ציון,,
נחל מודיעים,31.9249571,35.0123101
יער ראש העין,32.09783675,34.97289274
"שמורת האלונים ,קדימה",32.287287,34.92101516
"חורשת הסרג׳נטים ,נתניה",32.306781,34.877867
יער בכניסה למושב צלפון/גיזו,,
נחל השקמה - אור הנר,31.5382696,34.5866956
חניון האגם ועין אלון,,
יער בית קשת,32.75539255,35.36885442
נחל מערות,32.67120145,34.96521596
יער יתיר שביל החלמוניות,,
כרמל מצוק הארבעים,32.7569869,35.0297856
מצןק הארבעים בכרמל,32.7569869,35.0297856
"יער חרובית, פארק הלוחם, לאורך שביל הדסה (השביל המסומן בירוק)",,
פארק קנדה.,31.528257,34.58600954
נחלי פיראן תלכיד,31.8145844,34.8627238
בשביל למרגלות האוניברסיטה,,
נחל יצפור,,
פארק קנדה בצד המזרחי של הכביש המוליך מ גת היין צפונה,,
שביל החלמוניות בהר תבור,,
דרך האבות בין אלון שבות לנווה דניאל,,
סוסיא,31.8094238,34.974057
עמק החלמוניות כניסה מיזרחית של להבים,,
נחל ראש פינה במפגש שבילים שחור ירוק,,
"הר תבור, 600מ'' בדרך עפר הראשונה ימינה מכביש העליה לתבור",,
מצוק הארבעים,32.7569869,35.0297856
גבעות ליד מיתר,32.7768128,35.02254465
לטרון,31.8303661,34.9645653
המורדות הצפוניים שמעל לנחל מחניים,,
שלוחת איילה (דרום הכרמל),32.6313513,34.9624681
סטף - שביל השומרות,32.0525121,34.84960787
חניון להבים מזרח,31.99641205,34.88227583
חלמוניות ירוחם,30.9792723,34.8905856
מתלול עמינדב בגלבוע,,
מתלול עמינדב ונחל צביה,32.4567204,35.4332539
חי בר כרמל,32.75346265,35.01102359
חורשת ה-40 שביל המצוק,31.9227288,34.6933177
הר מירון שביל הפסגה,,
הר ברקן,32.5100616,35.4087714
העמק הנעלם,29.670227,34.94473
שמורת רכס בוקר,30.9115519,34.75681754
הר חזק מתחת לבסיס הצבאי (ברכס בשנית),,
נחל כזיב (מפנה צפוני),,
נחל המערה,32.1766081,34.8485246
חולות חלוצה ליד צאלים,,
חולון,32.0193121,34.7804076
נחל משמר,31.388472,35.332907
שפך נחל משמר,31.388472,35.332907
חרבת זעק,31.4149324,34.8678575
קרן ברתות,,
אזור שמורת פולג - יקום,,
יער מירון - דרומית לצומת מירון,,
שבילי הגישה למבצר מונפורט - נחל כזיב,,
קרן ברתות - נחל כזיב,,
שמורת האירוסיפ בנתניה,32.2846485,34.84027331
נחל נריה - הר מירון,32.1587927,34.8364399
שביל הפסגה - מירון,32.7726111,34.9869943
טלמון,31.2663614,34.7701709
הר מירון,32.9977837,35.4137268
הר מירון - השביל היורד לחרבת נריה,,
מורדות האף,33.2240264,35.5693472
שמורת חוץ אכזיב,33.06395065,35.02316808
הר מירון - נחל נרייה,32.1587927,34.8364399
פארק גורן,33.0537169,35.22863135
נחל שרך,33.0582431,35.2620016
נחל חלילים,31.8047578,35.1629682
רמת הנדיב,32.5544052,34.946476
נ.ג. 431 ליד חיננית,32.19730435,34.87878653
נחל דימונה,31.116241,35.1196072
תל שימרון,32.7038969,35.2141406
הר תבור לאורך שביל ישראל,,
הר תבור - שביל ישראל,32.6871101,35.3896182
הר שוקף,32.7082744,35.0261585
שמורת/פארק יקום,31.22526,34.58703472
שביל אדום בין חרבת כרך למוחרקה,,
"שביל נורמן, כפר ורדים",32.9876391,35.2770468
גבעת המורה,32.6176829,35.3489433
חוף הבונים,32.6418611,34.9242222
שמורת הבונים,32.6346414,34.91286156
שמורת נחל שורק דרומי,31.7527064,35.06161062
פארק מנשה ליד אליקים,,
"פארק מנשה, ליד אליקים",,
אליקים,32.6327376,35.0670512
"ביער עופר, רכס הכרמל, שלוחה דרומית, לפני העלייה למצפה עופר",,
אזור כרם מהרל,32.6461207,34.9899618
שלוחת איילה ונחל שמרי,,
נחל ימין,31.77278005,35.22545445
כביש עליה להר מירון,,
נחל נשר עליון,31.3359356,35.251049
קבעת הרקפות ליד גלעד,,
הר התבור,32.8057086,35.11393
נחל קטלב ונחל שורק תיכון,,
מנחל קטלב דרך נחל שורק עד מערת הנטיפים,,
נחל קטלב- נחל שורק - הר יעלה,32.4983154,35.4484035
יער חוף הכרמל,32.65378805,34.971151
גבעת הברושים ליד מודיעין,32.1467966,34.842123
נחל דליות.,32.8985526,35.7287957
זויתן תחתון,,
ליד ישיבת איתרי,31.7448765,35.2107703
פארק הסלעים כסרא,,
יער צלפון,31.8125289,34.92106597
רמת דלתון,33.0161305,35.4504843
"הר הגלבוע, נחל יצפור.",32.1592397,34.8374806
נחל חצור ק. איילת השחר,,
מערת הקשת,,
גבעות הכוכר נס ציונה,31.934095,34.7870227
"יער שוקדה, בתרונות בארי, שמורת פורה, הגבעה מול חוות שקמים",,
בתרונות בארי ושמורת פורה,,
לאורך כביש 232,32.6920098,35.2525897
המכתש הקטן,30.9824627,35.19908285
"שביל הפסגה, הר מירון",,
"לאורך רכס אצבע, על השביל המעגלי השחור",,
"מסלול חוף דור הבונים, על גבעות הכורכר",,
כרמל - בדרך למערת אורנית,,
שמורת אירוס הארגמן נתניה,32.284585,34.8461242
בשביל בין חורבת כרך למוחרקה,,
איזור חורבת כרך,32.677312,35.0714278
השביל הירוק מחניון יהדות תימן למגילת האש,,
חרבת קנובה,,
1. חי בר כרמל. 2. בפנייה לכיוון חניון רקית מכביש עתלית בית אורן,,
"נחל השופט, רמות מנשה",31.7500674,35.1671855
מצפור המוחרקה,,
אזור סלעית צור נתן,32.2407088,35.0138835
אזור סלעית,32.649435,35.1872085
נחל רקפת,32.658332,35.0697829
נחל אורן,32.7138895,34.9814622
חרבת קלעה במסלול הירוק ליד פדואל,,
"ליד פדואל, בשביל הירוק לדיר קלעה",,
"מסלול הבורות והבארות, בירידה מתל שקלון",,
בחורשה מול מושב עלומים  על כביש 232,,
"מערות אפקה , תל אביב",32.12957675,34.80931873
"שמורת נחל שקמה, ע",32.8727287,35.50218699
בית דגן,32.001945,34.8301626
פארק קנדה - ליד לטרון,,
"שביל המצוק, חורשת הארבעים",31.9227288,34.6933177
נחל השופט,32.6203676,35.0937349
מערות אפקה,32.12957675,34.80931873
"חורשת הסרג'נטים , נתניה",32.306781,34.877867
שמורת ביתן אהרון,32.3676753,34.87392067
יער בן שמן - מצפה מודיעין,31.898238,34.9827982
הר הקפיצה -נצרת,32.7,35.3083329
תחילת נחל תקוע,32.0589718,34.9136499
"הר ברקן , גלבוע",32.5101497,35.4082838
נחל חיק ובקעת אלון,32.721905,35.031448
חניון חורבת רקית,32.6450187,35.0721031
חורבת רקית,32.677312,35.0714278
שמורת נחל פולג - מול מכון וינגייט,,
בתרונות בארי,,
שמורת חרבת פורה,31.4966619,34.77526577
תל שוכה - גבעת התורמוסים,32.1410227,34.829766
יער בריטניה - תל עזקה,,
שמורת בני ציון-חרוצים,32.22110185,34.8572786
יער הרקפות ליד טל שחר,,
"שביל הצנירים, חורשת ה 40",,
"פארק עדולם, עמק האלה",,
מוזליאום מזור (יער קולה),,
בירידה לנחל רכש,,
נחל רכש,31.8063943,34.87454685
ליד סעד,31.7497713,35.1256726
הר חזק מתחת לבסיס הצבאי (רכס בשנית),,
"גן לאומי קיסריה, מחוץ לחומות",32.5070229,34.8942604
"מצוק הארבעים ,הר הכרמל",,
"גבעת החלמוניות, ירוחם",30.9938828,34.9201161
שביל הפיסגה - הר מירון,,
מתחם מערות אפקה,32.12957675,34.80931873
"עמק צורים, במדרון מתחת לאלה הגדולה",,
נחל נעמן בחורשת האקליפטוס בצד המזרחי,,
"גמלא, השביל לעיר עתיקה.",,
החרמון - תצפית גבעות הקרב (הרכב העליון),,
רכס חזקה,32.747125,35.098727
תל מלוט (שמורת עינות גבתןן),,
"דרך הקיסר, לפני המדרגות הרומיות הדרומיות",,
הישוב קדומים וסביבתו,32.0548383,34.7524692
כביש החוף באיזור מושב הבונים וחופי חיפה,32.6366541,34.9334238
חוף פלמחים,31.9261198,34.69695442
מצוקי החוף בין וינגייט לארסוף,,
שמורת אודים,,
בגבעות סביב היישוב מיתר,,
עין צור,31.6940539,34.7200879
"לאורך ""ציר החשמל"" מדרום לרכבל העליון",,
דולינת סלעם בחרמון,31.267444,35.212661
אזור התעשייה בראון,33.0617991,35.608086
נחל כזיב ליד המונפורט,,
חרבת דורבן ליד הישוב מטע (חפשו באתר עמודענן),,
בתוך מבצר המונפור,,
בכל רחיבי הארץ,31.7835593,35.2104765
בג,32.03925405,34.80285367
חוף בית ינאי שפך האלכסנדר,,
איזור חוות גלעד,32.703314,35.323888
כרמיאל,32.91098395,35.29354438
שכונת מקור חיים מגרש ליד רחוב צרת,,
נחל שורק,31.7630383,34.9376176
"בתוך פרדסיה, רחוב המייסדים",,
"ברל כצנלסון 61, חיפה.",31.96751295,34.7924709
בשביל השחור בירידה ממגרש החניה לנחל כזיב,,
"כתף חרמון, מסלול ירוק",,
"כתף חרמון ,הר עבושית",,
"כתף חרמון,הר חבושית",,
"הר מירון, מסלול אדום - בס שדה",,
"כתף חרמון, הר כחל",,
"מגדל צדק, תל אפק",32.0808063,34.9571024
מורדות הר בראון,33.1583223,35.7786485
חוות משה זר ליד קרני שומרון,32.141878,34.8349811
השביל הכחול (קרן ברתות) בנחל כזיב,,
הר פקיעין,32.9902546,35.352812
"שוויצריה הקטנה, עין אלון",,
"עין אלון, נחל אלון",32.7268476,35.0229471
כפר סבא מזרח ליד בית האבן,32.1802979,34.94042719
עין-טיניה,32.0861877,34.8859152
שוויצריה הקטנה,32.74694,35.02464
בעליה לשמורת הר מירון,,
שביל הגולן עי הר בנטל,,
שמורת נעל דשון,32.86741295,35.1052556
חוף הבונים וחוף דור,32.6418611,34.9242222
לפני הכניסה לכביש למיצר,,
כביש הכניסה לאליעד,32.887503,35.410692
בית ספר שדה הר מירון,30.6019672,34.7909816
צד שמאל של הכביש מביס שדה לשביל הפסגה,,
שביל שחור מהר מירון לישוב מירון,,
הר מירון בשביל השחור היורד מהפיסגה לישוב מירון,,
חורשת ארבעים שביל מוליך לנחל נשר,,
נחל מורן,33.0117511,35.3745124
הישוב קדומים בשומרון,32.0548383,34.7524692
שביל הפסגה - הר מירון,,
נחל כזיב ליד עין תמיר,33.045723,35.2475813
נחל כזיב-שביל-עין זיו-עין תמיר,33.045723,35.2475813
נחל גחר,32.6334082,35.1496084
"נחל כלח, שוויצריה הקטנה, הר הכרמל",,
בכביש 9088 בין צ. קצרין צפ' לקצרין בשולי הדרך,,
בשביל העבר בדרך למפל הג'ילבון בצידי הדרך,,
ואדי עוג'ה,31.4724074,34.4982114
דרך גלעד מיצהר לקדומים,,
לאורך כביש 6 בעיקר בחלקו המרכזי,,
נחל איזוב,,
גלבוע - כתף שאול,32.5281937,35.3724834
גלבוע - נחל יצפור,32.5778203,35.2806115
נחל קינה,31.1957084,35.1708529
הישוב נוקדים,,
עמק הצבאים,31.7602168,35.1954913
בית ג'אן,32.955939,35.352625
הר חוזק,33.0540042,35.8504436
חבל לכיש,32.0288886,34.9366349
השביל השחור,,
נחל דישון,33.0588564,35.4689116
שמורת אירוס ירוחם,31.02103115,34.974141
הר הלל,32.9596126,35.4152454
נחל קנה,32.1820395,34.9150345
"נחל כרמילה, היורד מבית מאיר ליער הקדושים",,
נחל נדר,32.7644011,35.0018591
"שמורת חוף השרון, צפונית לארסוף",,
חרבת חנות - עין מטע - עין תנור,31.7147331,35.0484505
שויצריה הקטנה,32.74694,35.02464
חוף הבונים ליד השביל הירוק קרוב לכניסה,,
חוף דור,32.6418611,34.9242222
יער לביא - ליד בית קברות מוסלמי עתיק,,
קרן ברתות - נחל כזיב השביל הכחול,,
נחל כזיב - קרן ברתות,,
נחל גלים-כלח,32.7545345,35.001596
"חורבת דרבן, ליד שביל ישראל",,
בשביל היורד מחורשת הארבעים לכביש עוספיה,,
